ARRAY SIZE;Num SERVERS;CUTOFF;Thread CLOCK;SEQ CLOCK;;;;;;;;;server AVG;seq AVG;
5000000;20;1350;301696096;806274722;383327136;805080560;335195413;800552043;330499060;800519442;337378471;808464421;337619235,2;804178237,6;2,38190883
5000000;20;1400;346530290;807456810;314306034;836587595;4371649948;806548812;320101763;804448464;638858435;807650001;1198289294;812538336,4;0,678081946
5000000;20;1450;361040744;809700843;324009654;800869601;360706886;804002918;335834754;812538336;296702109;806570546;335658829,4;806736448,8;2,403441763
5000000;20;1500;333379418;810338978;306038063;803807311;322791344;805446416;523072437;805658927;397715034;803001342;376599259,2;805650594,8;2,139278225
5000000;20;1550;334495700;801677984;303207815;808987245;305485054;799569184;323718660;803800066;328893765;804074156;319160198,8;803621727;2,517925888
5000000;20;1600;330826882;806336906;379244768;810486889;302932519;798526557;391321619;802311289;372156470;807126574;355296451,6;804957643;2,265594377
5000000;20;1650;1525339412;802181489;367885138;803885795;304228709;800180151;318858097;796903753;366009374;808303228;576464146;802290883,2;1,391744636
5000000;20;1700;339187825;802056518;476140913;802075233;352550000;803317693;400034533;802659032;404109656;802240049;394404585,4;802469705;2,03463584
5000000;20;1750;327891586;807303464;2815193505;801463663;325615555;802365020;307830513;840706789;331696241;809532405;821645480;812274268,2;0,98859458
5000000;20;1800;332542055;809539650;1237121406;805681868;407312400;806275326;303311052;809171379;344534385;805241755;524964259,6;807181995,6;1,53759419
5000000;20;1850;296719617;799716492;324878411;805507392;329687659;805104106;324929123;798820569;322237731;805901019;319690508,2;803009915,6;2,511835338
5000000;20;1900;339097871;804877710;323447590;804427333;349853779;802115683;307219547;812461060;499818883;803981787;363887534;805572714,6;2,213795855
5000000;20;1950;402614840;804279422;525955209;807840777;326480085;802830490;323196442;803049641;326586943;807489410;380966703,8;805097948;2,113302659
5000000;20;2000;324010862;804632599;388674903;802312496;361850335;821179407;328337737;802161565;318849040;811010920;344344575,4;808259397,4;2,347240105
5000000;20;2050;304643466;806086965;323319600;805849702;309263145;804604827;304738250;804032499;336657627;811508990;315724417,6;806416596,6;2,554178745
5000000;20;2100;346248352;805890152;314005984;803534429;397756691;807174872;371554559;802498442;326209617;804636222;351155040,6;804746823,4;2,291713717
5000000;20;2150;439269207;799921154;327976107;801773976;332359731;801479360;402981299;801343522;369653440;808920232;374447956,8;802687648,8;2,143656106
5000000;20;2200;357285595;802654807;340702563;807677168;339843467;814598235;370510120;804224483;2246296166;803550125;730927582,2;806540963,6;1,103448527
5000000;20;2250;584515622;801283151;320073388;802848601;503401973;804024651;325121710;802441693;372200542;803506658;421062647;802820950,8;1,906654405
5000000;20;2300;312124183;812836575;303741506;807394627;337528797;803660003;305430719;800657695;327347633;799444817;317234567,6;804798743,4;2,536920076
5000000;20;2350;300433110;806295248;332933870;805088409;304423711;802194770;324563871;804732213;341536907;803701056;320778293,8;804402339,2;2,507658264
5000000;20;2400;373637400;804369376;299415235;804135133;354683553;802285329;369985487;805479017;339555492;805323257;347455433,4;804318422,4;2,31488227
5000000;20;2450;305547841;803059300;346832151;803660003;323326845;802058933;336484358;798151041;349903888;807971784;332419016,6;802980212,2;2,415566415
5000000;20;2500;325576917;803297166;464859164;804948345;321635821;805501355;338650512;811089404;1662382455;812886080;622620973,8;807544470;1,297008138
5000000;20;2550;482221600;802163376;311163662;806959946;325817198;808996300;307188154;807116310;357882675;804398959;356854657,8;805926978,2;2,258417988
5000000;20;2600;334326053;806509570;344479447;803732449;324822265;803745128;488092794;806536134;357197451;803553748;369783602;804815405,8;2,17644969
5000000;20;2650;436402132;807800328;329455225;802840752;441010944;808590599;333681278;807902356;394405431;805918527;386991002;806610512,4;2,084313352
5000000;20;2700;390248806;802771928;547549131;805912489;456526595;801422610;325526204;801568711;344919560;801373709;412954059,2;802609889,4;1,943581547
5000000;20;2750;433751189;801769750;320523161;802907162;372921990;833791759;323957131;803599631;324929727;802508102;355216639,6;808915280,8;2,2772449
5000000;20;2800;427502668;807735125;341283343;805603988;322403755;802027539;662498974;799441799;313026144;810222459;413342976,8;805006182;1,947550163
5000000;20;2850;459346580;805701790;297032949;799049984;353421774;800552043;324245106;800743423;371180855;803722187;361045452,8;801953885,4;2,22119924
5000000;20;2900;357604963;799935643;334505359;800878053;304663388;801319374;332243213;804191882;301013890;802814189;326006162,6;801827828,2;2,459548071
5000000;20;2950;373316824;809617530;362614043;803160725;329405721;809741293;293351453;802148887;327964637;809734048;337330535,6;806880496,6;2,391958069
5000000;20;3000;648802337;805428305;358034209;808225951;334106298;807432057;337814962;802886031;308312284;808580940;397414018;806510656,8;2,0293966
5000000;20;3050;325106014;801644176;311875450;800982497;375527050;809984593;311476390;806444972;402601558;802781588;345317292,4;804367565,2;2,329357906
5000000;20;3100;328234500;803551937;510413598;809612097;314480509;808845370;385981700;802781588;304849939;804117624;368792049,2;805781723,2;2,184921624
5000000;20;3150;360894039;828637786;412911919;817399505;418576642;806758907;313380528;802582360;354146844;803042999;371981994,4;811684311,4;2,18205269
5000000;20;3200;301952678;803719772;878835444;821795807;390107535;801822274;1202461132;807050505;322255843;805092031;619122526,4;807896077,8;1,304904996
5000000;20;3250;356575617;800194036;356487474;805990369;458078764;812241306;371979579;809185870;4401666393;799517264;1188957565;805425769;0,677421796
5000000;20;3300;305246584;808760848;328047950;803555559;389323904;806778830;327283639;798062295;358848027;808299605;341750020,8;805091427,4;2,355790427
5000000;20;3350;313999947;803651551;294493695;810833426;443807987;798852566;367939474;803422137;306402108;804907896;345328642,2;804333515,2;2,329182746
5000000;20;3400;530042405;803011002;389747717;799241967;454713618;807438698;408223415;802630053;513714145;808596033;459288260;804183550,6;1,750934262
5000000;20;3450;1354532623;802666880;420319586;805149385;1969215620;799534169;334758318;804528759;333823756;800278557;882529980,6;802431550;0,909239989
5000000;20;3500;335166434;800425262;381640336;804899444;340491261;802104212;339205937;806935195;305546634;801226401;340410120,4;803118102,8;2,359266234
5000000;20;3550;333802023;801420195;338227304;806534323;293605620;804609054;357933991;806316380;371874532;803762033;339088694;804528397;2,372619351
5000000;20;3600;317696535;801984071;435249627;810307584;313189149;802692237;342697260;804395940;297948191;805472980;341356152,4;804970562,4;2,358154545
5000000;20;3650;304460538;800472352;339482441;860178025;333177775;804334964;299107941;797713343;403405112;807404286;335926761,4;814020594;2,423208531
5000000;20;3700;355935672;809889809;416182280;811621886;347932736;802916822;359583359;796976199;610177421;806678612;417962293,6;805616665,6;1,927486469
5000000;20;3750;431708799;806029008;405082251;809258920;346693295;798810306;407798999;867946718;302022106;799144768;378661090;816237944;2,155589696
5000000;20;3800;322886732;802198996;511538331;808258553;297893856;803457757;324060368;806431087;308664253;803939526;353008708;804857183,8;2,279992435
5000000;20;3850;343630011;800242333;358233438;801748017;440965665;808906949;342517351;802330005;296680979;801050718;356405488,8;802855604,4;2,252646577
5000000;20;3900;348826244;804242595;315846732;802488783;335634319;806404522;305169911;803285092;316068902;802286536;324309221,6;803741505,6;2,478318383
5000000;20;3950;306526475;800740405;329061599;799781090;361551492;801629687;367358089;804573435;356084188;802670503;344116368,6;801879024;2,330255394
5000000;20;4000;580191767;815350473;417149443;803988428;297164560;802721820;307004622;804060875;326784360;803196949;385658950,4;805863709;2,089576057
5000000;20;4050;320952408;810543639;466361224;808146863;452763597;802395206;301371898;804371791;327048186;803676303;373699462,6;805826760,4;2,156349797
5000000;20;4100;319560225;803738487;366499597;803832064;327047583;803536844;329067032;808366015;324854262;801169047;333405739,8;804128491,4;2,411861571
5000000;20;4150;341431860;807788857;374731948;851945071;517641355;806257215;605776289;804323493;368708012;799973677;441657892,8;814057662,6;1,84318604
5000000;20;4200;364808572;809103763;303703471;803064733;336674531;801511357;338826799;802333023;333109554;805267110;335424585,4;804255997,2;2,397725248
5000000;20;4250;314339239;804845109;328003274;807329424;1853903544;803816367;349765635;802481539;328305136;804784133;634863365,6;804651314,4;1,267440142
5000000;20;4300;369939000;802878183;331791629;801022946;363075286;799988771;330808770;800282783;355745500;803163140;350272037;801467164,6;2,288127741
5000000;20;4350;305200701;808439668;359379905;803362368;335671749;801551806;431508967;804369377;360443663;799424291;358440997;803429502;2,241455382
5000000;20;4400;374217577;807694072;300706596;806776415;302417544;803169782;409324604;804263725;380492057;804706857;353431675,6;805322170,2;2,278579499
5000000;20;4450;304467783;802547344;294403740;802640921;394375848;805983729;346400490;807860095;297156712;807023337;327360914,6;805211085,2;2,45970441
5000000;20;4500;403388812;805447019;382989051;804484083;358274490;800156002;340219586;802221937;347553598;807395834;366485107,4;803940975;2,193652508
5000000;20;4550;326666634;803794030;329738372;801413555;345680854;801475738;365635067;802077648;350226275;800942047;343589440,4;801940603,6;2,334008294
5000000;20;4600;315412052;801799936;353030563;801668325;337738892;803081034;370933330;801047095;328943269;803226531;341211621,2;802164584,2;2,350929846
5000000;20;4650;357775817;802569078;323670364;814511300;351151177;805486262;553364783;803136576;337604262;804761192;384713280,6;806092881,6;2,095308174
5000000;20;4700;315359529;807103029;2610510676;804475632;324711783;798504219;323911248;801012683;370765495;812090978;789051746,2;804637308,2;1,019752269
5000000;20;4750;335794908;802133191;374530909;799493115;393462417;803653362;362838628;809816155;402980696;809754575;373921511,6;804970079,6;2,152778202
5000000;20;4800;318042468;805481432;755233061;800565325;351340746;802968138;387026139;802683181;332467797;816039319;428822042,2;805547479;1,878512296
5000000;20;4850;386724278;800431902;334399104;802657825;356818917;803629214;376969945;804562567;393140634;804616903;369610575,6;803179682,2;2,173043022
5000000;20;4900;371819593;797022082;404874571;801846423;344108762;806912253;326050838;801619424;500609759;805318427;389492704,6;802543721,8;2,060484606
5000000;20;4950;396154413;826713725;329905602;805450038;382717376;798707069;498738222;808509700;359772325;806958739;393457587,6;809267854,2;2,056810898
5000000;20;5000;707138165;805447020;327090447;799794372;340678414;802367435;410280900;797358959;355822172;806959947;428202019,6;802385546,6;1,873848113
